id,sigla,nome,regiao,data_coleta,data_limpeza,versao_dados
11,RO,Rondônia,Norte,2025-08-16 00-:15:17,2025-08-16 20:01:48,1.0
12,AC,Acre,Norte,2025-08-16 00-:15:17,2025-08-16 20:01:48,1.0
13,AM,Amazonas,Norte,2025-08-16 00-:15:17,2025-08-16 20:01:48,1.0
14,RR,Roraima,Norte,2025-08-16 00-:15:17,2025-08-16 20:01:48,1.0
15,PA,Pará,Norte,2025-08-16 00-:15:17,2025-08-16 20:01:48,1.0
16,AP,Amapá,Norte,2025-08-16 00-:15:17,2025-08-16 20:01:48,1.0
17,TO,Tocantins,Norte,2025-08-16 00-:15:17,2025-08-16 20:01:48,1.0
21,MA,Maranhão,Nordeste,2025-08-16 00-:15:17,2025-08-16 20:01:48,1.0
22,PI,Piauí,Nordeste,2025-08-16 00-:15:17,2025-08-16 20:01:48,1.0
23,CE,Ceará,Nordeste,2025-08-16 00-:15:17,2025-08-16 20:01:48,1.0
24,RN,Rio Grande do Norte,Nordeste,2025-08-16 00-:15:17,2025-08-16 20:01:48,1.0
25,PB,Paraíba,Nordeste,2025-08-16 00-:15:17,2025-08-16 20:01:48,1.0
26,PE,Pernambuco,Nordeste,2025-08-16 00-:15:17,2025-08-16 20:01:48,1.0
27,AL,Alagoas,Nordeste,2025-08-16 00-:15:17,2025-08-16 20:01:48,1.0
28,SE,Sergipe,Nordeste,2025-08-16 00-:15:17,2025-08-16 20:01:48,1.0
29,BA,Bahia,Nordeste,2025-08-16 00-:15:17,2025-08-16 20:01:48,1.0
31,MG,Minas Gerais,Sudeste,2025-08-16 00-:15:17,2025-08-16 20:01:48,1.0
32,ES,Espírito Santo,Sudeste,2025-08-16 00-:15:17,2025-08-16 20:01:48,1.0
33,RJ,Rio de Janeiro,Sudeste,2025-08-16 00-:15:17,2025-08-16 20:01:48,1.0
35,SP,São Paulo,Sudeste,2025-08-16 00-:15:17,2025-08-16 20:01:48,1.0
41,PR,Paraná,Sul,2025-08-16 00-:15:17,2025-08-16 20:01:48,1.0
42,SC,Santa Catarina,Sul,2025-08-16 00-:15:17,2025-08-16 20:01:48,1.0
43,RS,Rio Grande do Sul,Sul,2025-08-16 00-:15:17,2025-08-16 20:01:48,1.0
50,MS,Mato Grosso do Sul,Centro-Oeste,2025-08-16 00-:15:17,2025-08-16 20:01:48,1.0
51,MT,Mato Grosso,Centro-Oeste,2025-08-16 00-:15:17,2025-08-16 20:01:48,1.0
52,GO,Goiás,Centro-Oeste,2025-08-16 00-:15:17,2025-08-16 20:01:48,1.0
53,DF,Distrito Federal,Centro-Oeste,2025-08-16 00-:15:17,2025-08-16 20:01:48,1.0
