id,sigla,nome,regiao,data_coleta,total_populacao
11,RO,Rondônia,"{'id': 1, 'sigla': 'N', 'nome': 'Norte'}",2025-08-15 23:27:13,0
12,AC,Acre,"{'id': 1, 'sigla': 'N', 'nome': 'Norte'}",2025-08-15 23:27:13,0
13,AM,Amazonas,"{'id': 1, 'sigla': 'N', 'nome': 'Norte'}",2025-08-15 23:27:13,0
14,RR,Roraima,"{'id': 1, 'sigla': 'N', 'nome': 'Norte'}",2025-08-15 23:27:13,0
15,PA,Pará,"{'id': 1, 'sigla': 'N', 'nome': 'Norte'}",2025-08-15 23:27:13,0
16,AP,Amapá,"{'id': 1, 'sigla': 'N', 'nome': 'Norte'}",2025-08-15 23:27:13,0
17,TO,Tocantins,"{'id': 1, 'sigla': 'N', 'nome': 'Norte'}",2025-08-15 23:27:13,0
21,MA,Maranhão,"{'id': 2, 'sigla': 'NE', 'nome': 'Nordeste'}",2025-08-15 23:27:13,0
22,PI,Piauí,"{'id': 2, 'sigla': 'NE', 'nome': 'Nordeste'}",2025-08-15 23:27:13,0
23,CE,Ceará,"{'id': 2, 'sigla': 'NE', 'nome': 'Nordeste'}",2025-08-15 23:27:13,0
24,RN,Rio Grande do Norte,"{'id': 2, 'sigla': 'NE', 'nome': 'Nordeste'}",2025-08-15 23:27:13,0
25,PB,Paraíba,"{'id': 2, 'sigla': 'NE', 'nome': 'Nordeste'}",2025-08-15 23:27:13,0
26,PE,Pernambuco,"{'id': 2, 'sigla': 'NE', 'nome': 'Nordeste'}",2025-08-15 23:27:13,0
27,AL,Alagoas,"{'id': 2, 'sigla': 'NE', 'nome': 'Nordeste'}",2025-08-15 23:27:13,0
28,SE,Sergipe,"{'id': 2, 'sigla': 'NE', 'nome': 'Nordeste'}",2025-08-15 23:27:13,0
29,BA,Bahia,"{'id': 2, 'sigla': 'NE', 'nome': 'Nordeste'}",2025-08-15 23:27:13,0
31,MG,Minas Gerais,"{'id': 3, 'sigla': 'SE', 'nome': 'Sudeste'}",2025-08-15 23:27:13,0
32,ES,Espírito Santo,"{'id': 3, 'sigla': 'SE', 'nome': 'Sudeste'}",2025-08-15 23:27:13,0
33,RJ,Rio de Janeiro,"{'id': 3, 'sigla': 'SE', 'nome': 'Sudeste'}",2025-08-15 23:27:13,0
35,SP,São Paulo,"{'id': 3, 'sigla': 'SE', 'nome': 'Sudeste'}",2025-08-15 23:27:13,0
41,PR,Paraná,"{'id': 4, 'sigla': 'S', 'nome': 'Sul'}",2025-08-15 23:27:13,0
42,SC,Santa Catarina,"{'id': 4, 'sigla': 'S', 'nome': 'Sul'}",2025-08-15 23:27:13,0
43,RS,Rio Grande do Sul,"{'id': 4, 'sigla': 'S', 'nome': 'Sul'}",2025-08-15 23:27:13,0
50,MS,Mato Grosso do Sul,"{'id': 5, 'sigla': 'CO', 'nome': 'Centro-Oeste'}",2025-08-15 23:27:13,0
51,MT,Mato Grosso,"{'id': 5, 'sigla': 'CO', 'nome': 'Centro-Oeste'}",2025-08-15 23:27:13,0
52,GO,Goiás,"{'id': 5, 'sigla': 'CO', 'nome': 'Centro-Oeste'}",2025-08-15 23:27:13,0
53,DF,Distrito Federal,"{'id': 5, 'sigla': 'CO', 'nome': 'Centro-Oeste'}",2025-08-15 23:27:13,0
